pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate,T0_calculated,Teq_calculated,T0_calculated_err,Tmax_calculated,Tmax_calculated_err,Tmax_calculated_div_reported,Tmax_reported,Tmax_reported_err1,Tmax_reported_err2,Tday_observed,Tday_observed_err1,Tday_observed_err2,Tnight_observed,Tnight_observed_err1,Tnight_observed_err2,R_factor,R_factor_err1,R_factor_err2,R_factor_source,bond_albedo,bond_albedo_err1,bond_albedo_err2,f_factor,f_factor_err1,f_factor_err2,epsilon,epsilon_err1,epsilon_err2,instrument,eclipse_or_phase_curve,reduction_pipeline,stellar_model,observation_ref,observation_ref_link,eccentricity_source2,eccentricity_source2_err1,eccentricity_source2_err2,ecc_source2,min_cmf_1sigma,max_cmf_1sigma,stellar_age,stellar_age_err1,stellar_age_err2,stellar_age_lowlimit_flag,stellar_age_reference,stellar_rotation_period,note
55 Cnc e,55 Cnc,0,2,5,Radial Velocity,2004,Published Confirmed,0,<a refstr=CRIDA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018RNAAS...2..172C/abstract target=ref>Crida et al. 2018</a>,0.7365474,0.0000013,-0.0000013,0,0.01583,0.00024,-0.00024,0,1.947,0.038,-0.038,0,0.1737,0.00339014,-0.00339014,0,8.590,0.430,-0.430,0,0.02702716,0.00135293,-0.00135293,0,Mass,0.036,0.034,-0.025,,,,,,,,,,0,<a refstr=CRIDA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018RNAAS...2..172C/abstract target=ref>Crida et al. 2018</a>,,5272,24,-24,0,0.98,0.016,-0.016,0,1.015,0.051,-0.051,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,2023/8/7,2018-09,2023/8/7,2828.74,2000.22,34.04,2556.06,30.76,1.018,2511.00,26.00,-26.00,1796.00,88.00,-88.00,,,,0.715,0.036,-0.036,calculated,,,,,,,,,,MIRI/LRS,E,jwst; Eureka,MIRI obs,Hu et al. (2024),https://ui.adsabs.harvard.edu/abs/2024Natur.630..609H,,,,,0,0.005025,10.20,2.50,-2.50,0,von Braun et al. 2011,38.8,
GJ 1132 b,GJ 1132,1,1,2,Transit,2015,Published Confirmed,0,<a refstr=XUE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240813340X/abstract target=ref>Xue et al. 2024</a>,1.62892911,0.00000029,-0.0000003,0,0.0157,0.00013,-0.00013,0,1.192,0.038,-0.045,0,0.1063,0.0034,-0.004,0,1.84,0.19,-0.19,0,0.00578,0.0006,-0.00059,0,Mass,0.0118,0.047,-0.0099,0,19.3,1.5,-1.1,0,583.8,11,-8.5,0,0,<a refstr=XUE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240813340X/abstract target=ref>Xue et al. 2024</a>,M4.5 V,3229,78,-62,0,0.2211,0.0069,-0.0081,0,0.1945,0.0048,-0.0046,0,-0.17,0.15,-0.15,0,[Fe/H],5.037,0.034,-0.026,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h14m50.18s,153.7090696,-47d09m17.77s,-47.1549358,12.613,0.007,-0.007,13.68,0.2,-0.2,8.322,0.027,-0.027,12.138,0.000387,-0.000387,2024/9/3,2024-08,2024/9/3,826.34,584.31,23.00,746.68,20.78,1.001,746.00,14.00,-11.00,709.00,31.00,-31.00,389.50,102.50,-102.50,0.950,0.040,-0.040,reported,,,,,,,,,,MIRI/LRS,E,,,Xue et al. (2024),https://ui.adsabs.harvard.edu/abs/2024ApJ...973L...8X,,,,,0,0.462312,6.31,3.23,-3.23,0,Gaidos et al. 2023,122.3,
GJ 1252 b,GJ 1252,0,1,1,Transit,2020,Published Confirmed,0,<a refstr=CROSSFIELD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220809479C/abstract target=ref>Crossfield et al. 2022</a>,0.5182416,0.00000069,-0.00000069,0,0.00915,0.00015,-0.00015,0,1.180,0.078,-0.078,0,0.10527273,0.00695871,-0.00695871,0,1.320,0.280,-0.280,0,0.00415318,0.00088098,-0.00088098,0,Mass,0,0,0,,233,48,-41,0,,,,,0,<a refstr=CROSSFIELD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220809479C/abstract target=ref>Crossfield et al. 2022</a>,M3,3458,137,-137,0,0.391,0.02,-0.02,0,0.381,0.019,-0.019,0,0.1,0.1,-0.1,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h27m42.88s,306.9286462,-56d27m44.23s,-56.4622865,20.373,0.0192,-0.0192,12.68,0.2,-0.2,7.915,0.023,-0.023,11.2364,0.000806,-0.000806,2022/9/19,2022-08,2022/9/19,1541.52,1090.02,73.78,1392.92,66.67,1.002,1390.00,66.67,-66.67,1410.00,91.00,-125.00,,,,1.014,0.092,-0.092,calculated,0.41,0.00,-0.41,0.40,0.27,-0.15,,,,Spitzer,E,,,Crossfield et al. (2022),https://iopscience.iop.org/article/10.3847/2041-8213/ac886b,,,,,0,0.361809,6.61,2.34,-2.34,0,Gaidos et al. 2023,64,f is lower limit; Crossfield et al. 2022 gives a different age 3.9 \pm 0.4 Gyr
GJ 367 b,GJ 367,1,1,3,Transit,2021,Published Confirmed,0,<a refstr=GOFFO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230709181G/abstract target=ref>Goffo et al. 2023</a>,0.3219225,0.0000002,-0.0000002,0,0.00709,0.00027,-0.00027,0,0.699,0.024,-0.024,0,0.06236071,0.00214114,-0.00214114,0,0.633,0.050,-0.050,0,0.00199164,0.00015732,-0.00015732,0,Mass,0.06,0.07,-0.04,0,579,57,-52,0,1365,32,-32,0,0,<a refstr=GOFFO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230709181G/abstract target=ref>Goffo et al. 2023</a>,M1.0 V,3522,70,-70,0,0.458,0.013,-0.013,0,0.455,0.011,-0.011,0,-0.01,0.12,-0.12,0,[Fe/H],4.776,0.026,-0.026,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h44m29.15s,146.121464,-45d46m44.46s,-45.7790165,9.41263,0.002835,-0.002835,10.153,0.044,-0.044,5.78,0.02,-0.02,9.15159,0.00065,-0.00065,2023/8/10,2023-07,2023/8/10,1930.39,1364.99,59.78,1744.30,54.02,1.014,1720.00,40.00,-40.00,1728.00,90.00,-90.00,847.00,0.00,-847.00,0.970,0.100,-0.100,reported,,,,,,,,,,MIRI/LRS,PC,,,Zhang et al. (2024),https://iopscience.iop.org/article/10.3847/2041-8213/ad1a07,,,,,0.78392,1,7.95,1.31,-1.31,0,Gaidos et al. 2023,58,
GJ 486 b,GJ 486,1,1,1,Radial Velocity,2021,Published Confirmed,0,<a refstr=WEINER_MANSFIELD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...975L..22W/abstract target=ref>Weiner Mansfield et al. 2024</a>,1.46712127,0.00000031,-0.00000035,0,0.01714,0.00013,-0.00013,0,1.289,0.019,-0.014,0,0.11499708,0.00169507,-0.001249,0,2.770,0.076,-0.073,0,0.00871539,0.00023912,-0.00022968,0,Mass,0.00086,0.0016,-0.00043,0,39.2,1.7,-1.6,0,696.3,7.2,-7.3,0,0,<a refstr=WEINER_MANSFIELD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...975L..22W/abstract target=ref>Weiner Mansfield et al. 2024</a>,M3.5 V,3317,36,-37,0,0.3243,0.0044,-0.0034,0,0.312,0.007,-0.0069,0,-0.15,0.13,-0.12,0,[Fe/H],4.9111,0.0068,-0.011,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h47m55.57s,191.981531,+09d44m57.91s,9.7494181,8.07426,0.004095,-0.004095,11.39,0.1,-0.1,6.362,0.018,-0.018,10.094,0.000746,-0.000746,2025/4/16,2024-11,2025/4/16,983.92,695.73,12.89,889.07,11.65,1.000,889.07,11.65,-11.65,865.00,14.00,-14.00,,,,0.970,0.010,-0.010,reported,,,,,,,,,,MIRI/LRS,E,,,Mansfield et al. (2024),https://dx.doi.org/10.3847/2041-8213/ad8161,,,,,0.266332,0.417085,3.51,0.81,-0.81,0,Gaidos et al. 2023,49.9,another source gives stellar rtop of 130 days
K2-141 b,K2-141,1,1,2,Transit,2018,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,0.2803244,0.0000015,-0.0000015,0,0.00747,0.0001,-0.0001,0,1.510,0.050,-0.050,0,0.13471341,0.00446071,-0.00446071,0,4.970,0.350,-0.340,0,0.01563737,0.00110122,-0.00106976,0,Mass,0,0,0,0,3260,370,-330,0,2103,56,-56,0,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,4570,100,-100,0,0.681,0.018,-0.018,0,0.708,0.028,-0.028,0,0,0.06,-0.06,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h23m40.09s,350.9170464,-01d11m21.06s,-1.1891827,61.8736,0.1662,-0.1654,11.454,0.023,-0.023,8.401,0.023,-0.023,10.7217,0.000692,-0.000692,2023/4/17,2023-04,2023/4/17,2975.60,2104.07,78.63,2688.76,71.05,0.980,2745.00,,,2049.00,362.00,-359.00,956.00,489.00,-556.00,0.746,0.132,-0.131,calculated,0.282,0.070,-0.078,,,,,,,K2; Spitzer,PC,,,Zieba et al. (2022),https://www.aanda.org/articles/aa/abs/2022/08/aa42912-21/aa42912-21.html,,,,,0.145729,0.517588,6.30,6.60,-4.70,0,Bonomo et al. 2023,14.03,the albedo reported is geometric albedo
LHS 1478 b,LHS 1478,1,1,1,Transit,2021,Published Confirmed,0,<a refstr=SOTO_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.144S/abstract target=ref>Soto et al. 2021</a>,1.9495378,0.000004,-0.0000041,0,0.01848,0.00061,-0.00063,0,1.242,0.051,-0.049,0,0.11080401,0.00454992,-0.00437149,0,2.330,0.200,-0.200,0,0.007331,0.00062927,-0.00062927,0,Mass,0.038,0.16,-0.033,,,,,,595,10,-10,0,0,<a refstr=SOTO_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.144S/abstract target=ref>Soto et al. 2021</a>,m3 V,3381,54,-54,0,0.246,0.008,-0.008,0,0.236,0.012,-0.012,0,-0.13,0.19,-0.19,0,[Fe/H],4.87,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h57m21.33s,44.3388743,+76d33m05.06s,76.5514045,18.2276,0.011,-0.011,13.304,0.04,-0.04,8.767,0.022,-0.022,12.2598,0.000277,-0.000277,2021/4/23,2021-05,2021/4/23,841.21,594.83,23.81,760.12,21.51,0.995,764.00,,,491.00,102.00,-102.00,,,,0.640,0.130,-0.130,reported,,,,,,,,,,MIRI/F1500W,E,Frida; Eureka,,August et al. (2025),https://ui.adsabs.harvard.edu/abs/2025A&A...695A.171A,,,,,0.04004,0.536537,,,,,,,Rotation period resulted in nondetection; see August et al 2025
LHS 3844 b,LHS 3844,1,1,1,Transit,2019,Published Confirmed,0,<a refstr=VANDERSPEK_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...871L..24V/abstract target=ref>Vanderspek et al. 2019</a>,0.46292913,0.0000019,-0.0000019,0,0.00622,0.00017,-0.00017,0,1.303,0.022,-0.022,0,0.11624587,0.00196271,-0.00196271,0,,,,,,,,,,0,0,0,,70.1,0.5,-0.5,0,805,20,-20,0,0,<a refstr=VANDERSPEK_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...871L..24V/abstract target=ref>Vanderspek et al. 2019</a>,M5,3036,77,-77,0,0.189,0.006,-0.006,0,0.151,0.014,-0.014,0,,,,,,5.06,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h41m59.09s,340.4962038,-69d10m19.59s,-69.1721081,14.8846,0.0113,-0.0113,15.24,0.032,-0.032,9.145001,0.023,-0.023,13.3925,0.000738,-0.000738,2019/1/22,2019-02,2019/1/24,1141.25,806.99,37.54,1031.24,33.92,1.001,1030.00,,,1040.00,40.00,-40.00,,,,1.008,0.051,-0.051,calculated,0.20,0.00,-0.20,,,,,,,Spitzer,PC,,,Kreidberg et al. (2019),https://www.nature.com/articles/s41586-019-1497-4,,,,,,,7.80,1.60,-1.60,0,Kane et al. 2020,128,
LTT 1445 A b,LTT 1445 A,0,3,2,Transit,2019,Published Confirmed,0,<a refstr=PASS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..171P/abstract target=ref>Pass et al. 2023</a>,5.3587635,0.0000044,-0.0000045,0,0.0381,0.00067,-0.0007,0,1.340,0.110,-0.060,0,0.119547,0.00981356,-0.00535285,0,2.730,0.250,-0.230,0,0.00858954,0.00078659,-0.00072366,0,Mass,0.18,0.07,-0.06,0,5.7,1.3,-1.1,0,431,23,-23,0,0,<a refstr=PASS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..171P/abstract target=ref>Pass et al. 2023</a>,M3.0,3340,150,-150,0,0.271,0.019,-0.01,0,0.257,0.014,-0.014,0,-0.34,0.08,-0.08,0,[Fe/H],4.967,0.061,-0.075,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h01m50.99s,45.4624781,-16d35m40.18s,-16.5944956,6.86929,0.003805,-0.003805,10.59,0.046,-0.046,6.496,0.021,-0.021,10.0469,0.001234,-0.001234,2024/7/22,2023-10,2024/7/22,607.45,429.54,32.22,548.90,29.11,0.995,551.47,,,525.00,15.00,-15.00,,,,0.952,0.057,-0.057,reported,,,,,,,,,,MIRI/LRS,E,,,Wachiraphan et al. (2025),https://ui.adsabs.harvard.edu/abs/2025AJ....169..311W,,,,,0.045226,0.291457,2.00,,,0,Rukdee et al. 2024,85,Note that age estimate is crude from their XUV results; rotation period comes from https://ui.adsabs.harvard.edu/abs/2022AJ....163..168W/abstract
TOI-1468 b,TOI-1468,1,1,2,Transit,2022,Published Confirmed,0,<a refstr=MEIER_VALD_AMP_EACUTE_S_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250319772M/abstract target=ref>Meier Vald&eacute;s et al. 2025</a>,1.8805201,0.0000025,-0.000003,0,0.02107,0.00016,-0.00016,0,1.401,0.059,-0.060,0,0.12498906,0.00526364,-0.00535285,0,3.040,0.460,-0.460,0,0.00956491,0.00144732,-0.00144732,0,Mass,0.0099,0.018,-0.005,0,36.4,1.3,-1.3,0,683.5,6.3,-6.2,0,0,<a refstr=MEIER_VALD_AMP_EACUTE_S_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250319772M/abstract target=ref>Meier Vald&eacute;s et al. 2025</a>,,3376,45,-44,0,0.3714,0.01,-0.01,0,0.3527,0.0081,-0.0079,0,-0.01,0.21,-0.22,0,[Fe/H],4.846,0.025,-0.025,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h06m36.93s,16.6538724,+19d13m29.71s,19.2249195,24.7399,0.0469,-0.0467,12.5,0.2,-0.2,8.497,0.017,-0.017,12.1172,0.000697,-0.000697,2025/6/11,2025-03,2025/6/12,966.58,683.47,18.58,873.40,16.79,0.999,874.00,32.00,-32.00,1024.00,78.00,-74.00,,,,1.170,0.100,-0.100,reported,,,,,,,,,,MIRI/F1500W,E,,,Valdes et al. (2025),https://www.aanda.org/articles/aa/abs/2025/06/aa53449-24/aa53449-24.html,,,,,0,0.437186,1.00,,,1,Chaturvedi et al. 2022,42.5,
TOI-1685 b NRS1,TOI-1685,1,1,1,Transit,2021,Published Confirmed,0,<a refstr=BURT_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240514895B/abstract target=ref>Burt et al. 2024</a>,0.66913924,0.00000042,-0.00000042,0,0.01138,0.00035,-0.00034,0,1.390,0.040,-0.040,0,0.13096641,0.00446071,-0.00454992,0,3.030,0.330,-0.320,0,0.00953345,0.0010383,-0.00100683,0,Mass,0.0014,0.0024,-0.0011,0,236,15,-15,0,1062,27,-27,0,0,<a refstr=BURT_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240514895B/abstract target=ref>Burt et al. 2024</a>,M2.65 V,3575,53,-53,0,0.4555,0.0128,-0.0128,0,0.454,0.018,-0.018,0,0.3,0.1,-0.1,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h34m22.55s,68.5939529,+43d02m13.34s,43.0370395,37.6153,0.0728,-0.0725,13.378,0.028,-0.028,8.758,0.02,-0.02,12.2956,0.000308,-0.000308,2024/8/7,2024-05,2024/8/7,1542.39,1090.63,39.23,1393.71,35.45,1.003,1390.00,,,1520.00,140.00,-140.00,1100.00,210.00,-1100.00,1.100,0.100,-0.100,reported,-1.30,1.10,-0.90,,,,0.44,0.36,-0.44,NIRSpec/G395H,PC,,,Luque et al. (2025),https://ui.adsabs.harvard.edu/abs/2025AJ....170...49L,,,,,0,0.371859,1.00,0.30,-0.30,0,Burt et al. 2024,18.66,planet radius in Re updated according to Luque 2025 NRS1 data
