pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate,T0_calculated,Teq_calculated,T0_calculated_err,Tmax_calculated,Tmax_calculated_err,Tmax_calculated_div_reported,Tmax_reported,Tmax_reported_err1,Tmax_reported_err2,Tday_observed,Tday_observed_err1,Tday_observed_err2,Tnight_observed,Tnight_observed_err1,Tnight_observed_err2,R_factor,R_factor_err1,R_factor_err2,R_factor_source,bond_albedo,bond_albedo_err1,bond_albedo_err2,f_factor,f_factor_err1,f_factor_err2,epsilon,epsilon_err1,epsilon_err2,instrument,eclipse_or_phase_curve,reduction_pipeline,stellar_model,observation_ref,observation_ref_link,eccentricity_source2,eccentricity_source2_err1,eccentricity_source2_err2,ecc_source2,min_cmf_1sigma,max_cmf_1sigma,stellar_age,stellar_age_err1,stellar_age_err2,stellar_age_lowlimit_flag,stellar_age_reference,stellar_rotation_period,note
TOI-1685 b NRS2,TOI-1685,1,1,1,Transit,2021,Published Confirmed,0,<a refstr=BURT_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240514895B/abstract target=ref>Burt et al. 2024</a>,0.66913924,0.00000042,-0.00000042,0,0.01138,0.00035,-0.00034,0,1.370,0.040,-0.040,0,0.13096641,0.00446071,-0.00454992,0,3.030,0.330,-0.320,0,0.00953345,0.0010383,-0.00100683,0,Mass,0.0014,0.0024,-0.0011,0,236,15,-15,0,1062,27,-27,0,0,<a refstr=BURT_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240514895B/abstract target=ref>Burt et al. 2024</a>,M2.65 V,3575,53,-53,0,0.4555,0.0128,-0.0128,0,0.454,0.018,-0.018,0,0.3,0.1,-0.1,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h34m22.55s,68.5939529,+43d02m13.34s,43.0370395,37.6153,0.0728,-0.0725,13.378,0.028,-0.028,8.758,0.02,-0.02,12.2956,0.000308,-0.000308,2024/8/7,2024-05,2024/8/7,1542.39,1090.63,39.23,1393.71,35.45,1.003,1390.00,,,1360.00,100.00,-90.00,550.00,300.00,-550.00,0.990,0.070,-0.070,reported,0.00,0.30,-0.40,,,,0.06,0.24,-0.06,NIRSpec/G395H,PC,,,Luque et al. (2025),https://ui.adsabs.harvard.edu/abs/2025AJ....170...49L,,,,,0,0.371859,1.00,0.30,-0.30,0,Burt et al. 2024,18.66,planet radius in Re updated according to Luque 2025 NRS2 data
TOI-431 b,TOI-431,1,1,3,Transit,2021,Published Confirmed,0,<a refstr=OSBORN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.2782O/abstract target=ref>Osborn et al. 2021</a>,0.490047,0.00001,-0.000007,0,0.0113,0.0002,-0.0003,0,1.280,0.040,-0.040,0,0.11419415,0.00356857,-0.00356857,0,3.070,0.350,-0.350,0,0.0096593,0.00110122,-0.00110122,0,Mass,0,0,0,0,,,,,1862,42,-42,0,1,<a refstr=OSBORN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.2782O/abstract target=ref>Osborn et al. 2021</a>,,4850,75,-75,0,0.731,0.022,-0.022,0,0.78,0.07,-0.07,0,0.2,0.05,-0.05,0,[Fe/H],4.6,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h33m04.62s,83.2692502,-26d43m25.93s,-26.7238698,32.5686,0.0312,-0.0311,9.12,0.03,-0.03,6.723,0.021,-0.021,8.79171,0.000543,-0.000543,2021/8/16,2021-10,2021/8/16,2660.15,1881.01,64.50,2403.72,58.28,1.002,2400.00,60.00,-60.00,1520.00,360.00,-390.00,,,,0.633,0.157,-0.157,calculated,,,,,,,,,,Spitzer,E,,,Monaghan et al. (2025),https://ui.adsabs.harvard.edu/abs/2025AJ....169..239M,,,,,0.356784,0.58794,,,,,,30.5,
TRAPPIST-1 b 12.8 micron,TRAPPIST-1,1,1,7,Transit,2016,Published Confirmed,0,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,1.510826,0.000006,-0.000006,0,0.01154,0.0001,-0.0001,0,1.116,0.014,-0.012,0,0.09956302,0.001249,-0.00107057,0,1.374,0.069,-0.069,0,0.00432309,0.0002171,-0.0002171,0,Mass,0.00622,0.00304,-0.00304,,4.153,0.161,-0.159,0,,,,,1,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,,2566,26,-26,0,0.1192,0.0013,-0.0013,0,0.0898,0.0023,-0.0023,0,,,,,,5.2396,0.0056,-0.0073,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,,,17.02,0.2,-0.2,10.296,0.023,-0.023,15.6451,0.001448,-0.001448,2022/11/14,2021-02,2022/11/14,562.39,397.67,6.91,508.18,6.25,1.000,508.00,,,424.00,28.00,-28.00,,,,0.834,0.056,-0.056,calculated,0.19,0.08,-0.08,,,,,,,MIRI/F1280W,E,,,Ducrot et al. (2025),https://ui.adsabs.harvard.edu/abs/2025NatAs...9..358D,,,,,0.015075,0.236181,7.60,2.20,-2.20,0,A. J. Burgasser & E. E. Mamajek (2017),1.4,508 K Td computed in Greene et al. (2023)
TRAPPIST-1 b 15 micron,TRAPPIST-1,1,1,7,Transit,2016,Published Confirmed,0,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,1.510826,0.000006,-0.000006,0,0.01154,0.0001,-0.0001,0,1.116,0.014,-0.012,0,0.09956302,0.001249,-0.00107057,0,1.374,0.069,-0.069,0,0.00432309,0.0002171,-0.0002171,0,Mass,0.00622,0.00304,-0.00304,,4.153,0.161,-0.159,0,,,,,1,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,,2566,26,-26,0,0.1192,0.0013,-0.0013,0,0.0898,0.0023,-0.0023,0,,,,,,5.2396,0.0056,-0.0073,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,,,17.02,0.2,-0.2,10.296,0.023,-0.023,15.6451,0.001448,-0.001448,2022/11/14,2021-02,2022/11/14,562.39,397.67,6.91,508.18,6.25,1.000,508.00,,,478.00,27.00,-27.00,,,,0.941,0.054,-0.054,calculated,0.19,0.08,-0.08,,,,,,,MIRI/F1500W,E,,,Ducrot et al. (2025),https://ui.adsabs.harvard.edu/abs/2025NatAs...9..358D,,,,,0.015075,0.236181,7.60,2.20,-2.20,0,A. J. Burgasser & E. E. Mamajek (2017),1.4,508 K Td computed in Greene et al. (2023)
TRAPPIST-1 c,TRAPPIST-1,1,1,7,Transit,2016,Published Confirmed,0,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,2.421937,0.000018,-0.000018,0,0.0158,0.00013,-0.00013,0,1.097,0.014,-0.012,0,0.09786795,0.001249,-0.00107057,0,1.308,0.056,-0.056,0,0.00411543,0.0001762,-0.0001762,0,Mass,0.00654,0.00188,-0.00188,,2.214,0.086,-0.085,0,,,,,1,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,,2566,26,-26,0,0.1192,0.0013,-0.0013,0,0.0898,0.0023,-0.0023,0,,,,,,5.2396,0.0056,-0.0073,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,,,17.02,0.2,-0.2,10.296,0.023,-0.023,15.6451,0.001448,-0.001448,2022/11/14,2021-02,2022/11/14,480.63,339.86,5.87,434.30,5.31,1.010,430.00,,,380.00,31.00,-31.00,,,,0.875,0.072,-0.072,calculated,0.57,0.12,-0.15,,,,0.66,0.26,-0.33,MIRI/F1500W,E,,,Zieba et al. (2023),https://www.nature.com/articles/s41586-023-06232-z,,,,,0.035176,0.241206,7.60,2.20,-2.20,0,A. J. Burgasser & E. E. Mamajek (2017),1.4,
LHS 1140 c,LHS 1140,1,1,2,Transit,2018,Published Confirmed,0,<a refstr=CADIEUX_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...960L...3C/abstract target=ref>Cadieux et al. 2024</a>,3.77794,0.000002,-0.000002,0,0.027,0.0005,-0.0005,0,1.272,0.026,-0.026,0,0.11348043,0.00231957,-0.00231957,0,1.91,0.06,-0.06,0,0.00600953,0.00018878,-0.00018878,0,Mass,0.05,,,1,5.3,0.4,-0.4,0,422,7,-7,0,0,<a refstr=CADIEUX_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...960L...3C/abstract target=ref>Cadieux et al. 2024</a>,M4.5 V,3096,48,-48,0,0.2159,0.003,-0.003,0,0.1844,0.0045,-0.0045,0,-0.15,0.09,-0.09,0,[Fe/H],5.041,0.016,-0.016,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h44m59.67s,11.248632,-15d16m26.79s,-15.2741085,14.9861,0.0153,-0.0152,14.15,0.062,-0.062,8.821,0.024,-0.024,12.6706,0.000356,-0.000356,2024/3/4,2024-01,2024/3/4,597.02,422.16,11.55,539.47,10.44,1.005,537.00,9.00,-9.00,561.00,44.000,-44.000,,,,1.045,0.084,-0.084,calculated,,,,,,,,,,MIRI/F1500W,E,,,Fortune et al. (2025),https://ui.adsabs.harvard.edu/abs/2025arXiv250522186F/abstract,,,,,,,5.00,,,1,Cadieux et al. 2024,131,
LTT 3780 b,LTT 3780,1,2,2,Transit,2020,Published Confirmed,0,<a refstr=BONFANTI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...682A..66B/abstract target=ref>Bonfanti et al. 2024</a>,0.76837931,0.00000039,-0.00000042,0,0.01195,0.00028,-0.00029,0,1.325,0.057,-0.058,0,0.11820879,0.00508521,-0.00517442,0,2.46,0.19,-0.19,0,0.00774003,0.00059781,-0.00059781,0,Mass,0,,,0,111,13,-12,0,903,26,-26,0,0,<a refstr=BONFANTI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...682A..66B/abstract target=ref>Bonfanti et al. 2024</a>,M3.5 V,3358,92,-92,0,0.38,0.012,-0.012,0,0.381,0.024,-0.034,0,0.06,0.11,-0.11,0,[Fe/H],4.85,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h18m34.78s,154.6449033,-11d43m04.08s,-11.717801,21.9814,0.0403,-0.0402,13.14,0.035,-0.035,8.204001,0.021,-0.021,11.8465,0.000477,-0.000477,2024/3/26,2024-02,2024/3/26,1291.32,913.10,43.64,1166.84,39.43,1.002,1164.00,,,1143.00,104.00,-99.00,,,,0.98,0.09,-0.09,reported,,,,,,,,,,MIRI/F1500W,E,,,Allen et al. (2025),http://arxiv.org/abs/2508.14210,,,,,,,3.10,6.20,-0.98,0,Bonfanti et al. 2024,104,
GJ 3929 b SPHINX,GJ 3929,1,1,2,Transit,2022,Published Confirmed,0,<a refstr=BEARD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220710672B/abstract target=ref>Beard et al. 2022</a>,2.616235,0.000005,-0.000005,0,0.0252,0.0005,-0.0005,0,1.09,0.04,-0.04,0,0.09724345,0.00356857,-0.00356857,0,1.13,0.09,-0.09,0,0.003555387,0.000283172,-0.000283172,0,Mass,0.043,0.03,-0.021,0,17.3,0.7,-0.7,0,568,6,-6,0,0,<a refstr=BEARD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220710672B/abstract target=ref>Beard et al. 2022</a>,M3.5 V,3384,88,-88,0,0.32,0.01,-0.01,0,0.313,0.027,-0.022,0,-0.02,0.12,-0.12,0,[Fe/H],4.89,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h58m18.62s,239.5775678,+35d24m29.21s,35.4081141,15.8095,0.0096,-0.0095,12.675,0.023,-0.023,7.869,0.02,-0.02,11.5109,0.000681,-0.000681,2022/8/1,2022-07,2022/8/1,822.34,581.48,26.25,743.07,23.72,1.008,737.00,14,-14,782.00,79.00,-79.00,,,,1.07,0.100,-0.100,reported,,,,,,,,,,MIRI/F1500W,E,,,Xue et al. (2025),http://arxiv.org/abs/2508.12516,,,,,,,7.10,4.10,-4.90,0,Beard et al. 2022,122,"planet mass and ecc updated by Xue et al 2025; note that R=1.07 is calculated using SPHINX models, R=1.01 is lower using the observed flux"
GJ 3929 b obs flux,GJ 3929,1,1,2,Transit,2022,Published Confirmed,0,<a refstr=BEARD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220710672B/abstract target=ref>Beard et al. 2022</a>,2.616235,0.000005,-0.000005,0,0.0252,0.0005,-0.0005,0,1.09,0.04,-0.04,0,0.09724345,0.00356857,-0.00356857,0,1.13,0.09,-0.09,0,0.003555387,0.000283172,-0.000283172,0,Mass,0.043,0.03,-0.021,0,17.3,0.7,-0.7,0,568,6,-6,0,0,<a refstr=BEARD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220710672B/abstract target=ref>Beard et al. 2022</a>,M3.5 V,3384,88,-88,0,0.32,0.01,-0.01,0,0.313,0.027,-0.022,0,-0.02,0.12,-0.12,0,[Fe/H],4.89,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h58m18.62s,239.5775678,+35d24m29.21s,35.4081141,15.8095,0.0096,-0.0095,12.675,0.023,-0.023,7.869,0.02,-0.02,11.5109,0.000681,-0.000681,2022/8/1,2022-07,2022/8/1,822.34,581.48,26.25,743.07,23.72,1.008,737.00,14,-14,745.00,76.00,-76.00,,,,1.01,0.100,-0.100,reported,,,,,,,,,,MIRI/F1500W,E,,,Xue et al. (2025),http://arxiv.org/abs/2508.12516,,,,,,,7.10,4.10,-4.90,0,Beard et al. 2022,122,"planet mass and ecc updated by Xue et al 2025; note that R=1.07 is calculated using SPHINX models, R=1.01 is lower using the observed flux"
TRAPPIST-1 b phase curve,TRAPPIST-1,1,1,7,Transit,2016,Published Confirmed,0,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,1.510826,0.000006,-0.000006,0,0.01154,0.0001,-0.0001,0,1.116,0.014,-0.012,0,0.09956302,0.001249,-0.00107057,0,1.374,0.069,-0.069,0,0.00432309,0.0002171,-0.0002171,0,Mass,0.00622,0.00304,-0.00304,,4.153,0.161,-0.159,0,,,,,1,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,,2566,26,-26,0,0.1192,0.0013,-0.0013,0,0.0898,0.0023,-0.0023,0,,,,,,5.2396,0.0056,-0.0073,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,,,17.02,0.2,-0.2,10.296,0.023,-0.023,15.6451,0.001448,-0.001448,2022/11/14,2021-02,2022/11/14,562.39,397.67,6.91,508.18,6.25,,,,,490.00,17.00,-17.00,197.00,41.00,-41.00,0.964,0.035,-0.035,calculated,,,,,,,,,,MIRI/F1500W,PC,,,Gillon et al. (2025),https://arxiv.org/abs/2509.02128v1,0.0008,0.0022,-0.0006,https://arxiv.org/abs/2509.02128v1,0.015075,0.236181,7.60,2.20,-2.20,0,A. J. Burgasser & E. E. Mamajek (2017),1.4,
TRAPPIST-1 c phase curve,TRAPPIST-1,1,1,7,Transit,2016,Published Confirmed,0,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,2.421937,0.000018,-0.000018,0,0.0158,0.00013,-0.00013,0,1.097,0.014,-0.012,0,0.09786795,0.001249,-0.00107057,0,1.308,0.056,-0.056,0,0.00411543,0.0001762,-0.0001762,0,Mass,0.00654,0.00188,-0.00188,,2.214,0.086,-0.085,0,,,,,1,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,,2566,26,-26,0,0.1192,0.0013,-0.0013,0,0.0898,0.0023,-0.0023,0,,,,,,5.2396,0.0056,-0.0073,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,,,17.02,0.2,-0.2,10.296,0.023,-0.023,15.6451,0.001448,-0.001448,2022/11/14,2021-02,2022/11/14,480.63,339.86,5.87,434.30,5.31,,,,,369.00,23.00,-23.00,220.00,38.00,-47.00,0.850,0.054,-0.054,calculated,,,,,,,,,,MIRI/F1500W,PC,,,Gillon et al. (2025),https://arxiv.org/abs/2509.02128v1,0.0011,0.0013,-0.0007,https://arxiv.org/abs/2509.02128v1,0.035176,0.241206,7.60,2.20,-2.20,0,A. J. Burgasser & E. E. Mamajek (2017),1.4,
TOI-561 b Eureka!,TOI-561,0,1,4,Transit,2020,Published Confirmed,0,<a refstr=BRINKMAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221006665B/abstract target=ref>Brinkman et al. 2022</a>,0.4465688,0.0000008,-0.0000008,0,0.0106,0.0004,-0.0004,0,1.37,0.04,-0.04,0,0.12222342,0.00356857,-0.00356857,0,2.24,0.2,-0.2,0,0.00704783,0.00062927,-0.00062927,0,Mass,0,,,0,4745,269,-269,0,2310,33,-33,0,0,<a refstr=WEISS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...56W/abstract target=ref>Weiss et al. 2021</a>,,5326,64,-64,0,0.832,0.019,-0.019,0,0.805,0.03,-0.03,0,-0.41,0.05,-0.05,0,[Fe/H],4.5,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h52m44.44s,148.1851516,+06d12m57.97s,6.216103,85.799,0.4988,-0.4932,10.252,0.006,-0.006,8.394,0.019,-0.019,10.0128,0.000278,-0.000278,2023/3/15,2023-03,2023/3/15,3217.77,2275.31,80.81,2907.58,73.02,0.983,2958.39,39.76,-39.76,1740.00,70.00,-80.00,,,,0.588,0.027,-0.027,calculated,,,,,,,,,,NIRSpec/BOTS,E,,,Teske et al. (2025),http://arxiv.org/abs/2509.17231,,,,,,,11.00,2.80,-3.50,0,G. Lacedelli et al. (2022),,theorey predicts 35-38 days rotation period; see https://ui.adsabs.harvard.edu/abs/2021AJ....161...56W/abstract
TOI-561 b JEDI 1,TOI-561,0,1,4,Transit,2020,Published Confirmed,0,<a refstr=BRINKMAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221006665B/abstract target=ref>Brinkman et al. 2022</a>,0.4465688,0.0000008,-0.0000008,0,0.0106,0.0004,-0.0004,0,1.37,0.04,-0.04,0,0.12222342,0.00356857,-0.00356857,0,2.24,0.2,-0.2,0,0.00704783,0.00062927,-0.00062927,0,Mass,0,,,0,4745,269,-269,0,2310,33,-33,0,0,<a refstr=WEISS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...56W/abstract target=ref>Weiss et al. 2021</a>,,5326,64,-64,0,0.832,0.019,-0.019,0,0.805,0.03,-0.03,0,-0.41,0.05,-0.05,0,[Fe/H],4.5,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h52m44.44s,148.1851516,+06d12m57.97s,6.216103,85.799,0.4988,-0.4932,10.252,0.006,-0.006,8.394,0.019,-0.019,10.0128,0.000278,-0.000278,2023/3/15,2023-03,2023/3/15,3217.77,2275.31,80.81,2907.58,73.02,0.983,2958.39,39.76,-39.76,1830.00,70.00,-70.00,,,,0.619,0.025,-0.025,calculated,,,,,,,,,,NIRSpec/BOTS,E,,,Teske et al. (2025),http://arxiv.org/abs/2509.17231,,,,,,,11.00,2.80,-3.50,0,G. Lacedelli et al. (2022),,note that they reported Tirr=3274pm44
TOI-561 b JEDI 2,TOI-561,0,1,4,Transit,2020,Published Confirmed,0,<a refstr=BRINKMAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221006665B/abstract target=ref>Brinkman et al. 2022</a>,0.4465688,0.0000008,-0.0000008,0,0.0106,0.0004,-0.0004,0,1.37,0.04,-0.04,0,0.12222342,0.00356857,-0.00356857,0,2.24,0.2,-0.2,0,0.00704783,0.00062927,-0.00062927,0,Mass,0,,,0,4745,269,-269,0,2310,33,-33,0,0,<a refstr=WEISS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...56W/abstract target=ref>Weiss et al. 2021</a>,,5326,64,-64,0,0.832,0.019,-0.019,0,0.805,0.03,-0.03,0,-0.41,0.05,-0.05,0,[Fe/H],4.5,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h52m44.44s,148.1851516,+06d12m57.97s,6.216103,85.799,0.4988,-0.4932,10.252,0.006,-0.006,8.394,0.019,-0.019,10.0128,0.000278,-0.000278,2023/3/15,2023-03,2023/3/15,3217.77,2275.31,80.81,2907.58,73.02,0.983,2958.39,39.76,-39.76,2150.00,80.00,-80.00,,,,0.727,0.029,-0.029,calculated,,,,,,,,,,NIRSpec/BOTS,E,,,Teske et al. (2025),http://arxiv.org/abs/2509.17231,,,,,,,11.00,2.80,-3.50,0,G. Lacedelli et al. (2022),,note that they reported Tirr=3274pm44